ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,fl,Price_per_SqFt,Year_Built,Furnished_Status,D,Floor No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1,Florida,New Patriciahaven,Lowe Fall,Independent House,3,4613,372.16,Commercial,7590.59,1991,Unfurnished,Ready to Move,3,7,28,Yes,No,Medium,No,No,"Gym, Security",South,Agent,Sold
2,South Carolina,New Thomas,Alexander Field,Apartment,4,3395,51.71,Residential,11416.72,2009,Semi-Furnished,Ready to Move,9,17,17,Yes,No,Low,Yes,Yes,"Gym, Security",North,Owner,Rented
3,Florida,Petersland,Navarro Creek,Villa,4,3843,63.4,Commercial,9371.61,2022,Unfurnished,Ready to Move,18,14,2,No,No,High,No,Yes,"Gym, Pool, Garden",West,Agent,Sold
4,South Carolina,East Veronicachester,Hanson Harbors,Plot,1,2416,471.28,Commercial,10353.48,2018,Semi-Furnished,Ready to Move,1,16,11,No,No,Medium,Yes,Yes,None,North,Builder,Available
5,Massachusetts,New Travis,Gray Expressway,Plot,5,4403,373.83,Residential,13212.41,1980,Semi-Furnished,Ready to Move,8,24,35,Yes,Yes,High,Yes,No,"Garden, Parking",North,Owner,Sold
6,New Mexico,New Gabrielafurt,Miller Well,Independent House,2,1333,454.74,Residential,10329.18,2013,Semi-Furnished,Ready to Move,12,15,2,No,No,Low,Yes,Yes,"Gym, Security",South,Builder,Rented
7,Michigan,West Richard,Blake Prairie,Villa,2,2198,331.28,Commercial,10333.36,1987,Semi-Furnished,Under Construction,8,11,6,Yes,No,Medium,No,No,None,South,Builder,Rented
8,Michigan,Greeneland,Hughes Lane,Villa,4,4597,307.87,Commercial,10198.68,2009,Unfurnished,Ready to Move,20,17,4,No,No,Low,Yes,Yes,"Gym, Security",East,Agent,Sold
9,Delaware,Walkertown,Fisher Falls,Villa,1,3378,410.8,Commercial,6588.29,1986,Furnished,Under Construction,13,10,6,Yes,Yes,Medium,Yes,Yes,"Gym, Security",East,Builder,Available
10,Oklahoma,Williamberg,Eric Walks,Independent House,3,4187,417.59,Commercial,9683.74,2019,Furnished,Under Construction,3,14,2,No,Yes,High,Yes,Yes,None,South,Builder,Rented
